abandon,"vt.放弃,遗弃;n.放任,狂热"
molecule,"n.[化]分子,些微"
occur,"vi.发生,出现"
paste,"n.糊,面团,黏土团;vt.用浆糊粘,张贴;n.粘贴"
monitor,"n.班长,监听器,监视器,监控器;vt.监控;v.监控"
occurrence,"n.发生,出现,事件,发生的事情"
pat,"n.轻拍,(黄油)小块;v.轻拍;adv.适时,正好,恰好;adj.恰好的,合适的,人为的"
monument,n.纪念碑
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
patch,"n.片,补缀,碎片,斑纹,斑点,小块地,眼罩,傻瓜;vt.修补,补缀,掩饰,平息"
mood,"n.心情,情绪,语气,状态"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
patience,"n.耐性,忍耐"
moral,"adj.道德(上)的,精神的;n.道德"
offense,n.进攻
patient,"n.病人,患者;adj.忍耐的,耐心的"
moreover,"adv.而且,此外"
offensive,"adj.讨厌的,无礼的,攻击性的;n.进攻,攻势"
pattern,"n.模范,式样,模式,样品,格调,图案;vt.模仿,仿造,以图案装饰;vi.形成图案"
mosquito,n.蚊子
official,"n.官员,公务员;adj.职务上的,公务的,官方的,正式的"
paw,"n.手掌,手爪;v.以蹄扒地,抓,笨拙地使用,费力地前进,(人)用手笨拙地摸;abbr.[军]Plasma-ArcWelding,等离子弧焊"
motion,"n.运动,动作;v.运动"
omit,"vt.省略,疏忽,遗漏"
payment,"n.付款,支付,报酬,偿还,报应,惩罚"
motivate,v.激发
onion,"n.洋葱;vt.加洋葱于,因洋葱掉泪"
pea,n.豌豆
motive,"n.动机,目的;adj.发动的,运动的"
opening,"n.开,开放,开始,口子,穴,通路,空缺,机会;adj.开始的,开幕的"
peak,"n.山顶,顶点,帽舌,(记录的)最高峰;adj.最高的;vi.到达最高点,消瘦,缩小;vt.使竖起,使达到最高点"
motor,"n.发动机,电动机"
opera,n.歌剧
peculiar,"adj.奇特的,罕见的,特殊的;n.特有财产,特权"
mould,"n.[亦作mold]肥土,壤土,[亦作mold]霉,模具;v.用土覆盖,发霉,铸造"
operational,"adj.操作的,运作的"
peer,"n.同等的人,贵族;vi.凝视,窥视;vt.与...同等,封为贵族"
mount,"n.乘用马,衬纸,山,装配;vi.乘马,爬上,增长;vt.爬上,使上马,装上,设置,安放,制作...的标本,上演"
operator,"n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子"
penalty,"n.处罚,罚款"
mud,"n.泥,泥浆,泥泞;abbr.Multi-UserDungeons,多用户网络游戏;abbr.Multi-UserDomuins,多用户领域"
opponent,"adj.对立的,对抗的;n.对手,反对者"
penetrate,"vt.穿透,渗透,看穿,洞察;vi.刺入,看穿,渗透,弥漫"
mug,n.杯子
opportunity,"n.机会,时机"
pension,"n.养老金,退休金"
multiple,"adj.多样的,多重的;n.倍数,若干;v.成倍增加"
oppose,"vt.反对,使对立,使对抗,抗争;vi.反对"
pepper,n.胡椒粉
multiply,"v.繁殖,乘,增加"
optical,"adj.眼的,视力的,光学的"
per,"prep.每,每一,由,经"
murder,"n.谋杀,凶杀;vt.谋杀,凶杀;v.谋杀"
optimistic,adj.乐观的
perceive,"vt.察觉;v.感知,感到,认识到"
muscle,"n.肌肉,臂力,(可供食用的)瘦肉,[解]肌"
option,"n.选项,选择权,[经]买卖的特权"
percentage,"n.百分数,百分率,百分比"
museum,n.博物馆
optional,"adj.可选择的,随意的"
perception,"n.理解;感知,感觉;DPS公司出的数字影像压缩卡"
mushroom,"n.蘑菇,<古>暴发户;vi.迅速生长,迅速增加,采蘑菇;adj.蘑菇形的,迅速生长的"
oral,adj.口头的
perform,"vt.履行,执行,表演,演出;v.完成任务"
musician,n.音乐家
orbit,"n.轨道,势力范围,生活常规,眼眶;vt.绕...轨道而行;vi.进入轨道,沿轨道飞行,盘旋"
performance,"n.履行,执行,成绩,性能,表演,演奏"
mutual,"adj.相互的,共有的"
orchestra,"n.管弦乐队,乐队演奏处"
permanent,"adj.永久的,持久的"
mysterious,adj.神秘的
orderly,"adj.有秩序的,整齐的,整洁的;n.传令兵,勤务兵;adv.依次地,顺序地"
permission,"n.许可,允许"
mystery,"n.神秘,神秘的事物"
ore,"n.矿石,含有金属的岩石"
persist,"vi.坚持,持续"
myth,"n.神话,神话式的人物(或事物),虚构的故事,荒诞的说法"
organ,"n.[机]元件,机构,机关,机关报;[乐]风琴,管风琴,嗓音;[生物]器官"
personality,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
naked,"adj.裸体的,无遮盖的,无装饰的,无保护的,[律]无证据的,未证实的"
organic,"adj.器官的,有机的,组织的,建制的"
personnel,"n.人员,职员"
namely,"adv.即,也就是"
organize,"n.生物体,有机体"
perspective,"n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
nationality,"n.国籍,国家,部落,民族,民族性"
organization,"n.组织,机构,团体"
pessimistic,"adj.悲观的,厌世的"
naturally,adv.自然地
organism,"vt.组织,使有机化,给予生机;vi.组织起来"
petrol,n.<英>汽油（=<美>gasoline）
nature,"n.自然,自然界,大自然,自然状态,本性,天性,种类"
origin,"n.起源,由来,起因,出身,血统,[数]原点"
petroleum,n.石油
naval,adj.海军的
original,"adj.最初的,原始的,独创的,新颖的;n.原物,原作"
phase,"n.阶段,状态,相,相位;v.定相"
navigation,"n.航海,航空,导航,领航,航行"
ounce,"n.盎司,少量,[动]雪豹"
phenomenon,n.现象
navy,n.海军
outcome,"n.结果,成果"
philosopher,"n.哲学家,哲人"
nearby,"adj.附近的,邻近的;adv.在附近"
outer,"adj.外部的,外面的,远离中心的;n.(射击)环外命中"
philosophy,"n.哲学,哲学体系,达观,冷静"
necessarily,adv.必要地
outlet,"n.出口,出路"
physical,"adj.身体的,物质的,自然的,物理的;n.体格检查"
necessity,"n.必要性,需要,必需品"
outline,"n.大纲,轮廓,略图,外形,要点,概要;vt.描画轮廓,略述"
physician,"n.医师,内科医师"
negative,"n.否定,负数,底片;adj.否定的,消极的,负的,阴性的;vt.否定,拒绝(接受)"
outlook,"n.景色,风光,观点,见解,展望,前景"
physicist,"n.物理学者,唯物论者"
neglect,"vt.忽视,疏忽,漏做;n.忽视,疏忽,漏做"
output,"n.产量,输出,输出量"
pierce,"vt.刺穿,刺破,穿透,突破,深深感动"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
outset,"n.开端,开始"
pigeon,n.鸽子
Negro,n.黑人
outside,"n.外面,外表,外界;adj.外面的,外表的,外界的;adv.在外面,外表,出界;prep.在...外"
pill,"n.药丸,口服避孕药,弹丸"
neighbourhood,n.邻居关系(美作：neighborhood)
outstanding,"adj.突出的,显著的"
pillar,"n.[建]柱子,栋梁,重要的支持者"
nephew,"n.侄子,外甥"
outward,"adj.外面的,外表的,公开的,向外的,外出的;adv.向外,在外,表面上n.外表,周围世界"
pillow,"n.枕头,枕垫"
nerve,"n.神经,胆量,勇气,叶脉;vt.鼓起勇气"
oval,"adj.卵形的,椭圆的;n.卵形,椭圆形"
pilot,"n.飞行员,领航员,引水员;vt.驾驶(飞机等),领航,引水;v.驾驶"
nest,"n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具;vi.筑巢,找鸟巢;vt.造巢,使套入"
oven,"n.烤箱,烤炉,灶"
pinch,"n.捏,撮,收缩,紧急关头,匮乏,压力;vt.掐,夹痛,修剪,勒索,使感缺乏,使萎缩,偷;vi.收缩,节省"
network,"n.网络,网状物,广播网"
overall,"adj.全部的,全面的"
pine,"n.松树,树木;v.消瘦,憔悴,渴望,渴慕"
neutral,"n.中立者,中立国,非彩色,齿轮的空档;adj.中立的,中立国的,中性的,无确定性质的,(颜色等)不确定的"
overcome,"vt.战胜,克服,胜过,征服;vi.得胜"
pint,n.品脱
nevertheless,"conj.然而,不过;adv.仍然,不过"
overhead,"adj.在头上的,高架的;n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
pit,"n.深坑,深渊,陷阱,(物体或人体表面)凹陷,(英国剧场的)正厅后排,正厅后排观众;vt.窖藏,使凹下,去...之核,使留疤痕,使竞争;vi.起凹点,凹陷"
niece,"n.侄女,甥女"
overlook,"vt.俯瞰,耸出,远眺,没注意到;n.眺望,俯瞰中的景色"
pitch,"n.程度,斜度,树脂,投掷,定调,(船只)前后颠簸,倾斜,沥青;vt.投,掷,向前倾跌,定位于,用沥青涂,扎营;vi.搭帐篷,投掷,坠落,倾斜"
nightmare,"n.梦魇,恶梦,可怕的事物"
overnight,"n.头天晚上;adj.通宵的,晚上的,前夜的;adv.在前一夜,整夜,昨晚一晚上"
planet,n.[天]行星
nitrogen,n.[化]氮
overseas,"adv.海外;adj.外国的,海外的"
plantation,"n.耕地,种植园,大农场,森林,人造林,殖民"
nonsense,"n.胡说,废话"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
plastic,"n.塑胶,可塑体,塑料制品,整形;adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的"
normal,"n.正规,常态,[数学]法线;adj.正常的,正规的,标准的"
owe,"vt.欠(债等),受到...的思想,感激,把...归功于;v.欠,应感激,应该把…归功于(to);vi.欠钱"
platform,"n.(车站)月台,讲台,讲坛;平台"
normally,"adv.正常地,通常地"
owing,"adj.(～to)由于,该付的,未付的,应归功于"
pledge,"n.保证,誓言,抵押,抵押品;vt.保证,使发誓,抵押,典当,举杯祝...健康"
notebook,"n.笔记簿,笔记本"
owner,"n.所有者,业主"
plentiful,"adj.许多的,大量的,丰富的,丰饶的"
noticeable,"adj.显而易见的,值得注意的"
ownership,"n.所有权,物主身份"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构;vt.划分,绘图,密谋;vi.密谋,策划"
notify,v.通报
oxygen,n.[化]氧
plug,"vt.堵,塞,插上,插栓;n.塞子,插头,插销"
notion,"n.概念,观念,想法,意见,打算,主张,(复数)<美语>小饰物"
pace,"n.(一)步,速度,步调,步法,步态;vi.踱步,缓慢的走;vt.用步测,踱步于,(马)溜花蹄"
plunge,"n.跳进,投入;vi.投入,跳进,陷入;vt.使投入,使插入,使陷入"
nowhere,"adv.无处,到处都无"
pack,"n.包裹,<贬>一群,一副,背包,包装;vt.包装,捆扎,塞满,压紧,挑选;vi.包装货物,挤,群集,被包装;背包"
plural,adj.复数的
nuclear,"adj.[核]核子的,原子能的,核的,中心的"
package,"n.包裹,包;"
plus,"prep.加上;adj.正的,加的"
nucleus,"[nuclear的复数,见nuclear];n.核子"
packet,"n.小包裹,小捆;v.包装;信息包"
poem,"n.诗,象诗一样,美丽的东西"
nuisance,"n.讨厌的人或东西,麻烦事,损害"
pad,"n.垫,衬垫,便笺簿;v.加上衬垫"
poet,n.诗人
poetry,"n.诗,作诗法,诗意,诗情"
prompt,"n.提示,付款期限;vt.提示,鼓动,促使,(给演员)提白;adj.敏捷的,迅速的,即时的;adv.准时地;n.DOS命令:改变DOS系统提示符的风格"
recommend,"vt.推荐,介绍,劝告,使受欢迎,托付,使...受欢迎,使...可取"
poison,"n.毒药,败坏道德之事,毒害;vt.毒害,败坏,使中毒;vi.放毒,下毒"
pronoun,n.代名词
recommendation,"n.推荐,介绍(信),劝告,建议"
poisonous,adj.有毒的
proof,"n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的"
recorder,"n.记录员,录音[像]机;n.[计]宏录制器,记录器"
pole,"n.棒,柱,杆,竿,极,磁极,电极;vt.用竿支撑,用棒推;vi.撑篙"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
recover,"vt.重新获得,恢复,使改过;vi.痊愈,复原,胜诉;n.DOS命令:从含有损坏磁盘扇区的磁盘上恢复文件"
policy,"n.政策,方针"
proportion,"n.比例,均衡,面积,部分;vt.使成比例,使均衡,分摊"
recovery,"n.恢复,痊愈,防御"
polish,"n.磨光,光泽,上光剂,优雅,精良;vt.擦亮,发亮,磨光,推敲;vi.发亮,变光滑;adj.波兰的;n.波兰人"
proportional,"adj.比例的,成比例的,相称的,均衡的"
recreation,"n.消遣,娱乐"
politician,"n.政治家,政客"
proposal,"n.提议,建议"
recruit,"n.新兵,新分子,新会员;vt.使恢复,补充,征募;vi.征募新兵,复原"
politics,"n.政治,政治学,政纲,政见"
propose,"vt.计划,建议,向...提议,求(婚);vi.打算,求婚"
reduction,"n.减少,缩影,变形,缩减量,约简"
poll,"n.选举之投票,民意测验;v.投票,获得选票,选举中获得"
prospect,"n.景色,前景,前途,期望;vi.寻找,勘探"
reference,"n.提及,涉及,参考,参考书目,证明书(人),介绍信(人)"
pollute,"vt.弄脏,污染"
prosperity,n.繁荣
refine,"vt.精炼,精制,使文雅高尚"
pollution,"n.污染,玷污"
prosperous,adj.繁荣的
reflect,"v.反射,反映,表现,反省,细想"
pond,n.池塘;v.筑成池塘
protection,n.保护
reflection,"n.反射,映象,倒影,反省,沉思,反映"
portable,"adj.轻便的,手提(式)的,便携式的"
protective,"adj.给予保护的,保护的"
reflexion,"n.<主英>（=reflection）反射,反射光"
porter,"n.守门人,门房,行李搬运工"
protein,n.[生化]蛋白质;adj.蛋白质的
reform,"n.改革,改善,改良运动,感化;vt.改革,革新,重新组成;vi.革新,改过,重组"
portion,"n.一部分,一分"
protest,"n.主张,断言,抗议;v.主张,断言抗议,拒付"
refresh,"v.(使)精神振作,(使)精力恢复,更新"
portrait,"n.肖像,人像"
prove,"vt.证明,证实,检验,考验;vi.原来(是),证明(是)"
refrigerator,"n.电冰箱,冷藏库"
pose,"n.姿势,姿态;v.(使...)摆好姿势,形成,引起,造成;vi.摆姿势,佯装,矫揉造作"
provide,"v.供应,供给,准备,预防,规定"
refugee,"n.难民,流亡者"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的;adj.[数]正的;adj.[电]阳的;adj.[语法]原级的"
provided,conj.倘若
refusal,"n.拒绝,推却,优先取舍权,优先取舍的机会"
possess,"vt.占有,拥有,持有,摆布,支配"
province,n.省(一个国家的大行政区)
regarding,prep.关于
possession,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
provision,"n.供应,(一批)供应品,预备,防备,规定"
regardless,"adj.不管,不顾,不注意"
possibility,"n.可能性,可能发生的事物"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
region,"n.区域,地方,(世界上某个特定的)地区,(艺术,科学等的)领域,(大气,海水等的)层"
postage,n.邮资
psychological,adj.心理(上)的
register,"n.记录,登记簿,登记,注册,寄存器;vt.记录,登记,注册,提示,把...挂号;vi.登记,注册,挂号"
postpone,"vt.推迟,使延期,延迟"
publication,"n.出版物,出版,发行,公布,发表"
regulate,"vt.管制,控制,调节,校准"
potential,"adj.潜在的,可能的,势的,位的;n.潜能,潜力,电压"
publicity,n.公开
regulation,"n.规则,规章,调节,校准"
pour,"v.灌注,倾泻,涌入,流,倾盆大雨"
publish,"v.出版,刊印;vt.公布,发表"
reinforce,"vt.加强,增援,补充,增加...的数量,修补,加固;vi.求援,得到增援;n.加固物"
poverty,"n.贫穷,贫困,贫乏,缺少"
pulse,"n.脉搏,脉冲"
reject,"n.被拒之人,被弃之物,不合格品,落选者,不及格者;vt.拒绝,抵制,否决,呕出,驳回,丢弃"
powder,"n.粉,粉末,火药,尘土;vt.搽粉于,撒粉,使成粉末;vi.搽粉,变成粉末"
pump,"n.泵,抽水机;vt.(用泵)抽(水),抽吸"
relate,"vt.叙述,讲,使联系,发生关系"
powerful,"adj.强大的,有力的"
punch,"n.冲压机,冲床,打孔机;vt.冲孔,打孔"
relationship,"n.关系,关联"
practically,"adv.实际上,事实上,在实践上;adv.几乎,简直"
punctual,"adj.严守时刻的,准时的"
relative,"n.亲戚,关系词,相关物,亲缘植物;adj.有关系的,相对的,比较而言的"
pray,"v.祈祷,恳求,请"
purchase,"vt.买,购买;n.买,购买"
relativity,"n.相对性,相关性,[物]相对论"
prayer,n.祈祷
purple,adj.紫色的;n.紫色
relax,"vi.放松,休息,休养,变从容;vt.使松驰,缓和,使松懈,使休息"
precaution,"n.预防,警惕,防范"
purse,n.钱包
release,"n.释放,让渡,豁免,发行的书,释放证书;vt.释放,解放,放弃,让与,免除,发表;n.版本,发布"
preceding,"adj.在前的,前述的"
pursue,"vt.追赶,追踪,追击,继续,从事"
relevant,"adj.有关的,相应的"
precious,"adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
puzzle,"n.难题,谜;v.(使)迷惑,(使)为难,迷惑不解"
reliable,"adj.可靠的,可信赖的"
precise,"adj.精确的,准确的;n.精确"
qualification,"n.资格,条件,限制,限定,赋予资格"
relief,"n.(痛苦等的)减轻,(债务等的)免除,救济,调剂,安慰,浮雕,地貌"
precision,"n.精确,精密度,精度"
qualify,"v.(使)具有资格,证明合格,限制修饰;vt.限制,限定"
relieve,"vt.减轻,解除,援救,救济,换班"
predict,"v.预知,预言,预报"
queue,"n.行列,长队,队列;vi.排队,排队等待"
religion,"n.宗教,信仰"
preface,"n.序文,绪言,前言;vi.作序,写前言;vt.为...写序言,开始"
quit,"vi.离开,辞职,停止;vt.离开,放弃,解除,停止"
religious,"adj.信奉宗教的,虔诚的,宗教上的,修道的,严谨的;n.僧侣,尼姑,修道士"
preferable,"adj.更可取的,更好的,更优越的"
quiz,"n.测验,提问,恶作剧;v.对...进行测验,盘问,挖苦"
reluctant,"adj.不顾的,勉强的,难得到的,难处理的"
preference,"n.偏爱,优先选择"
quotation,"n.引用语,价格,报价单,行情表"
rely,"v.依赖,依靠,信赖,信任,依赖于"
pregnant,"adj.怀孕的,重要的,富有意义的,孕育的"
quote,"vt.引用,引证,提供,提出,报(价)"
remain,"vi.保持,逗留,剩余,残存"
prejudice,"n.偏见,成见,损害,侵害;v.损害"
racial,"adj.人种的,种族的,种族间的"
remark,"n.备注,评论,注意,注释;vt.评论,注意,谈及;vi.谈论"
preliminary,"adj.预备的,初步的"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏;vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取;vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
remarkable,"adj.不平常的,非凡的,值得注意的,显著的"
preparation,"n.准备,预备"
radar,"n.雷达,电波探测器"
remedy,"n.药物,治疗法,补救,赔偿;vt.治疗,补救,矫正,修缮,修补"
preposition,n.前置词
radiation,"n.发散,发光,发热,辐射,放射,放射线,放射物"
remind,"vt.提醒,使想起"
prescribe,"v.指示,规定,处(方),开(药)"
radical,"adj.根本的,基本的,激进的;n.激进分子"
remote,"adj.遥远的,偏僻的,细微的"
presence,"n.出席,到场,存在"
rag,"n.抹布,碎屑,石板瓦,破旧衣服,少量;vt.揶揄,戏弄,欺负;vi.喧闹"
removal,"n.移动,免职,切除"
presentation,"n.介绍,陈述,赠送,表达"
rage,"n.愤怒,情绪激动,狂暴,精神错乱;vi.大怒,狂吹,风行"
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施;vi.给予补偿;n.交纳,粉刷,打底"
presently,"adv.目前,不久"
raid,"n.袭击,搜捕;v.奇袭,搜捕"
renew,"vt.使更新,使恢复,重申,补充,续借,复兴;vi.更新,重新开始"
preserve,"vt.保护,保持,保存,保藏;vi.做蜜饯,禁猎;n.蜜饯,果酱,禁猎地,禁区,防护物"
rail,"n.横杆,围栏,扶手,铁轨;vt.以横木围栏,铺铁轨;vi.责骂,抱怨"
rent,"v.租,租借,出租;n.租金"
pressure,"n.压,压力,电压,压迫,强制,紧迫"
railroad,n.铁路;vt.<美>由铁道运输
repeatedly,"adv.重复地,再三地"
presumably,"adv.推测起来,大概"
railway,"n.[英]铁道,铁路"
repetition,"n.重复,循环,复制品,副本"
pretend,"vt.假装,装扮,(作为藉口或理由)伪称"
rainbow,"n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西;adj.五彩缤纷的"
replace,"vt.取代,替换,代替,把...放回原处"
prevail,"vi.流行,盛行,获胜,成功"
rally,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结;n.集会"
replacement,"n.归还,复位,交换,代替者,补充兵员,置换,移位"
previous,"adj.在前的,早先的;adv.在...以前;返回上一级菜单"
range,"n.山脉,行列,范围,射程;vt.排列,归类于,使并列,放牧;vi.平行,延伸,漫游"
reporter,"n.记者,通讯员"
priest,n.牧师
rank,"n.等级,横列,阶级;adj.繁茂的,恶臭的,讨厌的,下流的;vt.排列,归类于,把...分等;vi.列为,列队;n.[数]秩"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演;vi.提出异议"
primarily,"adv.首先,起初,主要地,根本上"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的;adv.非常"
representative,"n.代表;adj.典型的,有代表性的"
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
rarely,"adv.很少地,罕有地"
reproduce,"v.繁殖,再生,复制,使...在脑海中重现"
prime,"n.最初,青春,精华;adj.主要的,最初的,有青春活力的,最好的,第一流的,根本的,[数]素数的;v.预先准备好,<口>让人吃(喝)足,灌注,填装"
rat,n.老鼠
republican,"adj.共和国的,共和政体的,共和主义的,有关共和的;n.共和党人"
primitive,"adj.原始的,远古的,粗糙的,简单的"
rate,"n.比率,速度,等级,价格,费用;vt.估价,认为,鉴定等级,责骂;vi.被评价,责骂"
reputation,"n.名誉,名声"
principal,"n.负责人,首长,校长,主犯,本金;adj.主要的,首要的"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
require,"vt.需要,要求,命令"
principle,"n.法则,原则,原理"
rational,"adj.理性的,合理的,推理的;n.[数]有理数"
requirement,"n.需求,要求,必要条件,需要的东西,要求必备的条件"
prior,"adj.优先的,在前的;n.预先;adv.在"
raw,"n.生肉,擦伤处,身上的痛处;adj.未加工的,生疏的,处于自然状态的,不掺水的,擦掉皮的,阴冷的,刺痛的;vt.擦伤"
rescue,"vt.援救,营救;n.援救,营救"
priority,"n.先,前,优先,优先权"
react,"vi.起反应,起作用,反抗,起反作用"
resemble,"vt.象,类似"
private,"adj.私人的,私有的,私营的,秘密的;n.士兵"
reaction,"n.反应,反作用,反动(力)"
reservation,"n.保留,(旅馆房间等)预定,预约"
privilege,"n.特权,特别待遇,基本公民权力,特免;vt.给与...特权,特免"
readily,"adv.乐意地,欣然,容易地"
reserve,"n.储备(物),储藏量,预备队;vt.储备,保存,保留,预定,预约"
probable,"adj.很可能的,大概的"
realistic,adj.现实(主义)的
reservior,"n.贮水池,贮藏处,贮备"
procedure,"n.程序,手续"
reality,"n.真实,事实,本体,逼真"
residence,"n.居住,住处"
proceed,"vi.进行,继续下去,发生"
realm,n.领域
resident,"n.居民;adj.居住的,常驻的"
process,"n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理"
rear,"n.后面,背后,后方,屁股;adj.后面的,背面的,后方的;vt.培养,饲养,举起,树立,栽种;vi.高耸,暴跳,用后腿站起"
resign,"n.辞去(职务);v.辞去,辞职"
procession,"n.行列,队伍"
reasonable,"adj.合理的,有道理的,通情达理的,讲道理的"
resist,"vt.抵抗,反抗,抗,忍得住"
product,"n.产品,产物,乘积"
rebel,"n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱"
resistance,"n.反抗,抵抗,抵抗力,阻力,电阻,阻抗"
profession,"n.职业,专业,表白,宣布"
recall,"vt.回忆,回想,记起,取消;n.召回"
resistant,"adj.抵抗的,有抵抗力的"
professional,"n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的"
receipt,"n.收条,收据,收到;v.收到"
resolution,"n.坚定,决心,决定,决议"
profile,"n.剖面,侧面,外形,轮廓"
receiver,"n.接受者,接收器,收信机"
resolve,"n.决心;v.决心,决定,决心要,(使)分解,溶解,解决;vt.解决"
profit,"n.利润,益处,得益;vi.得益,利用;vt.有益于,有利于"
recently,adv.最近
resort,"vi.求助,诉诸,采取(某种手段等),常去;n.凭借,手段,常去之地,胜地"
progressive,"n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的"
reception,"n.接待,招待会,接收"
resource,"n.资源,财力,办法,智谋"
prohibit,"vt.禁止,阻止"
recession,"n.撤回,退回,退后,工商业之衰退,不景气"
respect,"n.尊敬,敬重,注意,考虑,尊重,关系,有关,敬意;vt.尊敬,尊重,不防碍"
project,"n.计划,方案,事业,企业,工程;v.设计,计划,投射,放映,射出,发射(导弹等),凸出"
reckon,"vt.计算,总计,估计,猜想;vi.数,计算,估计,依赖,料想"
respective,"adj.分别的,各自的"
prominent,"adj.卓越的,显著的,突出的"
recognition,"n.赞誉,承认,重视,公认,赏识,识别"
respectively,"adv.分别地,各个地"
promote,"vt.促进,发扬,提升,提拔,晋升为"
recognize,"vt.认可,承认,公认,赏识;vi.具结"
respond,"v.回答,响应,作出反应;vi.有反应"
response,"n.回答,响应,反应"
scholarship,"n.奖学金,学问,学识"
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的;v.变细,减肥"
responsibility,"n.责任,职责"
scientific,adj.科学的
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;abbr.SerialLineInterfaceProtocol,串行接口协议"
responsible,"adj.有责任的,可靠的,可依赖的,负责的"
scissors,n.剪刀
slippery,"adj.滑的,光滑的"
restless,"adj.得不到休息的,不平静的,不安宁的"
scold,"v.责骂,申斥,斥责"
slope,"n.斜坡,斜面,倾斜;v.(使)顺斜"
restore,"vt.恢复,使回复,归还,交还,修复,重建"
scope,"n.(活动)范围,机会,余地"
smash,"v.打碎,粉碎;n.打碎,粉碎;adj.出色的"
restrain,"vt.抑制,制止"
score,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线;vt.把...记下,刻划,划线,获得,评价;vi.记分,刻痕,得分"
snap,"v.猛地吸住,突然折断,使劈啪地晌,猛咬;n.猛咬,突然折断,劈啪声;adj.突然的"
restraint,"n.抑制,制止,克制"
scout,"n.侦察,搜索,侦察员,侦察机;vi.守候,侦察,巡视,嘲笑;vt.侦察,跟踪,觅得,监视,轻蔑地拒绝(建议,意见等)"
soak,"adj.所谓的,号称的"
restrict,"vt.限制,约束,限定"
scrape,"n.刮,擦,擦痕,刮擦声,困境;vi.刮掉,擦掉,刮出刺耳声;vt.刮,擦,擦伤,挖成"
soar,"v.浸,泡,浸透;n.浸透"
result,"n.结果,成效,计算结果;vi.起因,由于,以...为结果,导致"
scratch,"n.乱写,刮擦声,抓痕,擦伤;vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出;vi.发刮擦声,搔,抓;adj.打草稿用的,凑合的"
so-called,"v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度"
resume,"n.摘要,概略,<美>履历;vt.再继续,重新开始,重新占用,再用,恢复"
scream,"v.尖声叫,尖声喊叫;n.尖叫声,喊叫声"
social,"adj.社会的,爱交际的,社交的,群居的"
retain,"vt.保持,保留"
screen,"n.屏,银幕,筛子,掩蔽物,屏风;vt.掩蔽,包庇,放映,拍摄,筛;vi.拍电影"
socialism,"n.社会主义,社会主义运动"
retire,"vi.退休,引退,退却,撤退,就寝"
screw,"n.螺丝钉,螺旋,螺杆,螺孔,螺旋桨,吝啬鬼;vt.调节,旋,加强,压榨,强迫,鼓舞;vi.转动,旋,拧"
socialist,"n.社会主义者,社会党党员"
retreat,"vi.撤退,退却;n.撤退,退却"
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
soda,"n.苏打,碳酸水"
reveal,"vt.展现,显示,揭示,暴露"
seal,"n.封铅,封条,印,图章,密封;vt.封,密封;n.海豹,海豹毛皮"
software,n.软件
revenue,"n.收入,国家的收入,税收"
secondary,"adj.次要的,二级的,中级的,第二的"
solar,"adj.太阳的,日光的"
